epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,2738.52,1.81539,2.62183,1.41206,0.00817,1.18829,0.68567,0.41549,0.56556,0.35581,0.66794,0.40478,0.55306,0.32238,1.81196,2.7299,1.44597,0.01038,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2795.88,1.84018,2.65644,1.4088,0.00809,1.20821,0.6924,0.42904,0.57512,0.36071,0.66961,0.41481,0.55927,0.32853,1.81647,2.6897,1.42293,0.01029,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2853.77,1.81871,2.61576,1.39967,0.00805,1.17719,0.69293,0.40925,0.56644,0.35596,0.67217,0.39774,0.55151,0.32311,1.82437,2.69433,1.43618,0.01026,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,2911.48,1.82229,2.62365,1.39765,0.00803,1.18012,0.67199,0.43403,0.56945,0.36177,0.65083,0.42097,0.55285,0.32374,1.78341,2.68066,1.41757,0.01002,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2969.26,1.82107,2.63036,1.39615,0.00806,1.1924,0.68332,0.42425,0.56892,0.36024,0.66849,0.41463,0.55842,0.32421,1.77872,2.6977,1.44563,0.01015,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,3026.74,1.81105,2.60928,1.38737,0.00801,1.15378,0.72923,0.39749,0.57255,0.36468,0.70448,0.38449,0.55484,0.32459,1.8213,2.68846,1.45139,0.01014,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,3084.21,1.80944,2.59967,1.39061,0.00802,1.19165,0.63316,0.45515,0.56718,0.35692,0.61305,0.44073,0.55109,0.31453,1.77875,2.71833,1.4373,0.00999,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,3141.75,1.81702,2.62049,1.39158,0.00803,1.15877,0.69361,0.42201,0.5748,0.36033,0.66882,0.40753,0.55677,0.32371,1.81435,2.70007,1.43595,0.01023,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,3199.69,1.80442,2.59488,1.37364,0.00796,1.1492,0.63893,0.46087,0.56874,0.35671,0.61676,0.44407,0.5475,0.31248,1.77588,2.68946,1.42944,0.01002,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,3257.39,1.80163,2.58629,1.36576,0.00798,1.14196,0.70869,0.42588,0.57795,0.37239,0.68224,0.4113,0.55929,0.33291,1.77415,2.67891,1.41175,0.00992,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,3315.11,1.79824,2.5814,1.36774,0.00791,1.13215,0.67823,0.43104,0.57316,0.36435,0.66064,0.41972,0.55913,0.32818,1.76297,2.68552,1.42141,0.01,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,3372.36,1.79833,2.56901,1.37323,0.00803,1.16524,0.66837,0.43594,0.56987,0.36024,0.64752,0.42246,0.55372,0.32096,1.79148,2.66618,1.42184,0.01,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,3430.39,1.81887,2.61665,1.38668,0.00799,1.16693,0.69294,0.42653,0.57107,0.36258,0.6705,0.41319,0.55502,0.32364,1.80446,2.66661,1.41338,0.01003,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3488.56,1.80514,2.57486,1.36815,0.00793,1.16257,0.69232,0.42428,0.57066,0.36649,0.67197,0.41172,0.55592,0.327,1.7677,2.70196,1.43631,0.00993,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3546.56,1.79805,2.60545,1.37171,0.00799,1.14607,0.67958,0.42664,0.57206,0.36578,0.65906,0.41361,0.55456,0.3253,1.77498,2.6796,1.42638,0.00992,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,3604.13,1.80876,2.59458,1.36929,0.00794,1.14423,0.66461,0.43736,0.56987,0.36235,0.64513,0.4248,0.55464,0.31952,1.77833,2.74394,1.42132,0.00993,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,3662.3,1.81933,2.59961,1.36034,0.0079,1.10627,0.63844,0.45383,0.56616,0.3582,0.61676,0.4383,0.54694,0.31451,1.79208,2.70041,1.42671,0.01006,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,3720.01,1.81907,2.61175,1.37782,0.00798,1.15752,0.70078,0.42296,0.57606,0.37318,0.68165,0.41194,0.56245,0.33167,1.76738,2.68335,1.41491,0.00987,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,3778.07,1.81459,2.59882,1.36052,0.00795,1.12671,0.68366,0.43593,0.57645,0.37044,0.66469,0.42324,0.56272,0.33618,1.76441,2.63911,1.42192,0.0099,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,3835.86,1.82096,2.62087,1.3693,0.00789,1.12582,0.68286,0.43884,0.57702,0.37068,0.66447,0.42694,0.56298,0.3253,1.77574,2.67268,1.40266,0.00989,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,3894.03,1.80152,2.5877,1.36107,0.0078,1.12976,0.69174,0.42214,0.57308,0.36599,0.67395,0.41115,0.56028,0.32927,1.79991,2.65301,1.42541,0.01006,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,3951.57,1.79313,2.57471,1.3557,0.00797,1.10583,0.66602,0.43513,0.56792,0.36647,0.65091,0.42499,0.55669,0.32741,1.76535,2.65021,1.41649,0.0099,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,4009.67,1.81741,2.60273,1.35658,0.00791,1.09169,0.65575,0.44083,0.56659,0.35593,0.63653,0.42793,0.55101,0.31827,1.79106,2.68604,1.42902,0.0101,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,4067.53,1.80478,2.58339,1.34444,0.00785,1.09379,0.68013,0.44125,0.5783,0.36883,0.66238,0.43053,0.56523,0.3299,1.78346,2.65396,1.40475,0.00997,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,4125.48,1.80881,2.58179,1.35976,0.00791,1.11489,0.71464,0.40779,0.57423,0.37207,0.70016,0.39947,0.56389,0.33896,1.77736,2.66392,1.43002,0.00998,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,4183.01,1.79095,2.56955,1.34893,0.00797,1.10013,0.67638,0.43868,0.57681,0.37092,0.65779,0.42618,0.56245,0.32895,1.77407,2.6422,1.39626,0.00993,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,4240.8,1.80232,2.56683,1.34335,0.00789,1.09341,0.70669,0.43273,0.58278,0.37739,0.68939,0.4215,0.56918,0.3393,1.75712,2.64752,1.42323,0.00988,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,4298.5,1.80264,2.5762,1.34554,0.00785,1.08641,0.72254,0.41774,0.583,0.37362,0.7023,0.40595,0.56768,0.33792,1.7902,2.62762,1.41956,0.00999,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,4356.47,1.79037,2.57065,1.35179,0.00788,1.0904,0.68806,0.44415,0.58488,0.37102,0.66969,0.43195,0.56965,0.33263,1.76638,2.66974,1.41023,0.00989,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,4414.05,1.80081,2.57437,1.34761,0.00785,1.07533,0.63552,0.46351,0.57153,0.36271,0.61534,0.44911,0.55468,0.32157,1.76021,2.7,1.42286,0.00988,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,4472.2,1.80251,2.57657,1.33603,0.00784,1.08157,0.70148,0.4326,0.58488,0.37566,0.67701,0.4179,0.56645,0.33535,1.77866,2.61855,1.40368,0.01,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,4529.74,1.7854,2.56343,1.33752,0.00787,1.05187,0.67698,0.44774,0.58025,0.37,0.65934,0.4361,0.56647,0.33384,1.76704,2.66327,1.39209,0.00986,0,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,4587.69,1.79219,2.56693,1.32994,0.00784,1.06353,0.6936,0.43385,0.58284,0.37516,0.67104,0.41982,0.56585,0.33388,1.76746,2.62591,1.4113,0.00987,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,4645.24,1.79234,2.54644,1.33821,0.00782,1.07183,0.67797,0.44139,0.57985,0.37428,0.65302,0.42566,0.56051,0.3315,1.75012,2.66067,1.41124,0.00966,0,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,4703.21,1.7984,2.55722,1.3261,0.00777,1.04131,0.69366,0.43326,0.58249,0.37436,0.66742,0.41734,0.5626,0.33194,1.76852,2.65225,1.41066,0.00985,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,4760.8,1.77599,2.52847,1.31793,0.00783,1.04359,0.68045,0.44583,0.57865,0.36958,0.65945,0.43217,0.56314,0.32932,1.77453,2.66426,1.40048,0.00984,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,4818.67,1.78865,2.55696,1.32562,0.00784,1.04798,0.6688,0.44807,0.57627,0.36944,0.64901,0.43488,0.56202,0.32697,1.76766,2.67383,1.40072,0.00994,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,4876.3,1.79324,2.55936,1.31934,0.00781,1.03015,0.65568,0.45971,0.57859,0.3712,0.63409,0.4447,0.56282,0.33032,1.76,2.66239,1.39448,0.00977,0,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,4934.24,1.78472,2.53598,1.32159,0.00784,1.05387,0.70708,0.43012,0.58398,0.37918,0.68709,0.41802,0.56951,0.33786,1.75463,2.66563,1.41474,0.00977,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
